Age,Annual_Income,Spending_Score,Purchase_Amount,Churn
54,,60,5000.0,0
21,53654.20046154978,14,1734.9606544029375,0
45,84931.86626639398,89,5000.0,0
64,,84,5000.0,0
26,36303.95179741419,2,1002.8276370969196,1
31,50942.13079900352,70,4507.0450564280445,0
39,62357.24912288695,17,2423.7301832085127,0
31,63141.91518470948,89,5000.0,0
19,,28,1918.9886240909361,0
38,75895.50319460614,66,4807.834951917745,0
25,43419.92101421011,35,2547.3244050688245,0
43,62331.1893005258,5,1696.8830648818032,0
26,36078.956247398324,65,3667.8856040547957,0
56,65651.43328134231,40,3322.431475159877,0
28,56831.70583961914,76,4769.9311214020845,0
34,56533.17967188404,56,4108.982884290426,0
47,58500.39100258946,36,2955.6603908282523,0
23,29649.21227936384,45,2831.4906712352695,0
40,59642.15300709872,23,2463.387272498781,0
53,95290.21525289393,47,4152.581257674611,0
18,34004.08648636395,31,2154.7078197455317,0
40,47968.570468818936,11,1849.1931081034365,0
41,61742.56935914056,10,1737.7137707387665,0
47,68672.7643025233,67,4389.2675752973755,0
23,20000.0,14,1332.039806894322,1
22,40857.05133482188,80,4790.813253000039,0
44,65490.65469791322,74,4772.101645318168,0
41,71162.06364813418,93,5000.0,0
41,82689.56094945344,10,2346.172747905088,0
42,76665.65029547756,76,5000.0,0
29,47111.11309445169,94,5000.0,0
40,51934.74091258329,1,1415.6337064496206,1
41,89933.5980324986,5,2314.741625767515,0
29,50392.184340144886,20,2304.5175197506137,0
60,87139.29291912947,8,2114.8975065277646,0
43,66358.74912889997,43,3386.805609541407,0
23,44580.847607678545,76,4553.793886493989,0
45,67556.39588076058,1,1457.2847901490566,1
26,40463.37993119763,57,3670.5207141971505,0
47,65931.41058759608,64,4582.322274835872,0
51,,84,5000.0,0
28,43165.75228866235,28,2329.1038368073023,0
49,66671.54217322836,37,3416.7736469767347,0
42,66464.30227691897,47,3914.1767817912296,0
47,,76,5000.0,0
60,102039.92988582689,37,3994.8129736955793,0
35,30490.30191606988,49,2886.745558118661,0
28,59515.06851922462,44,3424.1827804531686,0
27,59860.85192497629,56,4000.740164615776,0
28,27866.097675918507,28,1985.7664297342135,0
37,55973.12405919651,79,4785.246043000581,0
42,61685.59134004208,6,1511.5171757793134,0
41,50124.88305282179,61,3686.838197798742,0
47,63621.833124091245,20,2080.2541354836503,0
38,49494.24154534171,78,4786.801216836923,0
55,98522.70443423622,2,2282.608987468741,0
34,,73,4715.564008898328,0
70,111715.5509499416,37,4049.5925743401363,0
45,76216.72064043235,20,2655.90499403822,0
27,36109.482287827705,26,2067.505185105265,0
25,,29,2099.012969743471,0
43,,1,1811.8249452867285,0
35,44778.721911080545,35,2716.193363822082,0
46,77329.98430172389,70,4936.484458006555,0
43,,59,4264.569325872129,0
37,55651.791924504025,69,4295.98903508113,0
27,54509.59968203491,33,2957.251709299575,0
19,42242.63311486039,51,3318.846234505872,0
32,49790.3383418092,78,4839.096598885815,0
48,84193.29803364248,12,2534.0333156959978,0
40,52189.366724001025,20,1987.967060279637,0
23,48759.35606944264,53,3635.622182125973,0
40,68931.01257968384,88,5000.0,0
42,62304.535606860096,43,3385.6374607613534,0
27,50661.33022242118,98,5000.0,0
39,49288.86423614697,89,5000.0,0
38,69840.270192069,50,3968.7088176879797,0
24,41950.97863557011,29,2430.7061497801287,0
42,60172.7697948096,57,3973.0272234360423,0
44,78290.0922583689,39,3297.011423196672,0
50,67956.56309457241,95,5000.0,0
50,60915.3870363644,56,4046.849783603955,0
21,24633.708264760964,43,2972.7356781122644,0
26,52260.0995134564,50,3656.516949734884,0
44,54995.706475037165,23,2050.037671313423,0
44,85347.94181984365,44,3898.7232462496695,0
44,46980.70592116278,38,3121.320372723003,0
75,121964.56368290038,84,5000.0,0
44,69910.17467202619,23,2682.501317496505,0
51,75232.86888129608,45,3864.691676463207,0
49,68350.8091319105,52,3813.6594533895895,0
45,,80,5000.0,0
34,55423.652975751516,50,3520.902853666244,0
47,82433.01882016522,8,2205.7168535317332,0
28,49742.276486620394,85,5000.0,0
35,58503.01761461877,1,1276.0533869185483,1
32,49763.87787786144,8,1748.4749286275196,0
38,60030.543762789326,29,2642.189081092955,0
65,96078.01768892059,96,5000.0,0
18,20000.0,5,614.9238059587585,1
46,56718.14577894287,86,5000.0,0
18,44032.64094022715,47,3412.62840919653,0
32,55108.65438127942,34,2754.9768552428663,0
51,74360.16663647321,65,4445.669824753024,0
38,60784.33933065393,55,3932.384246324485,0
25,48475.81705361671,90,5000.0,0
29,44402.40319690639,43,2805.5695791159915,0
46,62416.95274597687,74,4612.392827735286,0
29,51758.452550976814,30,2517.040617272809,0
40,53216.27222384968,82,4831.2738707973895,0
38,,17,2136.072731151545,0
30,33974.1639576216,26,1735.3651850028652,0
63,100891.55637325643,8,2666.189669576009,0
45,73725.97482413043,47,3840.327571913054,0
18,39160.29734313876,76,4148.378566892228,0
40,72826.90983945514,91,5000.0,0
30,67654.74444462577,72,5000.0,0
48,82743.7006501813,89,5000.0,0
28,30191.257686683548,46,3048.807442380222,0
36,45404.23033264298,68,4082.134935904218,0
44,61551.81422304321,33,2943.2037609925237,0
48,72860.91050210834,1,1576.8538897890303,0
23,47776.59020469123,19,2342.6695326131658,0
33,47342.561868465345,31,2497.4486532698224,0
32,55267.66764477079,80,4924.320706318935,0
30,43446.170676466776,14,1595.7328054097613,0
59,79684.82197008052,53,4457.89377898707,0
42,51333.38903151778,48,3669.659977543767,0
22,32167.667538890957,69,4192.99272796726,0
49,60283.15394383666,90,5000.0,0
63,80841.26747022667,62,4513.1069173644255,0
50,85536.4179660784,92,5000.0,0
19,28306.01111168057,66,3735.0638023949014,0
32,79723.8206483739,64,4871.337706228874,0
53,83533.17900880889,70,5000.0,0
29,51648.36123694874,63,3970.577388027586,0
43,58016.422198187865,73,4787.5023143893395,0
47,78403.09879408992,33,3355.3671433883874,0
26,40443.62173762226,41,2437.838005315428,0
37,60620.098146453616,89,5000.0,0
18,62200.84538268794,48,3539.247539357728,0
25,44039.4010027535,13,1532.881651905319,0
34,67292.73326285675,73,4704.3655746130735,0
23,35568.23574874113,77,4356.0782806300185,0
57,83050.11509503039,31,3328.01123891361,0
20,56708.0063563551,75,4504.340823798275,0
32,47130.329422122326,68,4231.083763874316,0
39,79924.48557996929,98,5000.0,0
55,88077.51935455475,4,2420.82125464154,0
20,33375.332241057324,19,1561.0031194373769,0
51,82524.0773905552,70,4948.039719794434,0
38,70325.5444962673,98,5000.0,0
26,52418.09962217197,82,5000.0,0
43,,13,1757.3214738461365,0
40,55728.628241751314,23,2529.368770633684,0
30,48524.81364448495,83,4614.89192541823,0
38,59855.665708999535,75,4584.111085211708,0
33,60806.72097550678,1,1513.4310711602686,0
39,63577.01000933254,88,5000.0,0
45,,54,3566.760549242972,0
57,87201.97851005963,71,5000.0,0
23,48705.85745283823,89,5000.0,0
63,96197.9044793104,85,5000.0,0
18,47407.80725554622,15,1848.7008994352836,0
36,66539.22154548904,65,4610.729022982701,0
45,73591.80079228437,76,5000.0,0
41,63498.34288541353,71,4609.64232326939,0
30,34390.39066484009,15,1623.0735056805877,0
35,61296.18219132586,21,2342.1069859183012,0
32,55476.87687163111,19,2373.1125046187344,0
30,53715.788371953735,60,3807.6038156189097,0
48,,93,5000.0,0
42,54589.43459591738,89,5000.0,0
29,60331.52853332904,33,2834.862462889612,0
48,72204.44846143345,49,3418.39656978505,0
41,71015.00697372624,96,5000.0,0
47,,35,3343.690223262962,0
45,69297.56139495745,44,3682.6676058180515,0
28,57982.838059759975,90,5000.0,0
31,47039.55271782626,11,1471.1117006041416,1
46,71161.20776940984,99,5000.0,0
45,64377.247112949575,72,4641.5292690276565,0
37,55055.03772567684,78,4864.123190405837,0
39,58708.278765313604,74,4722.391327016529,0
53,80821.33771633713,66,4639.970463634237,0
30,46212.513783365226,46,3060.381899763769,0
44,80357.5612557352,9,2265.4045932779313,0
35,48053.926977804964,3,1262.911575262824,1
35,55131.28355838641,85,5000.0,0
51,,26,2667.62925988614,0
47,85869.77884353732,72,5000.0,0
47,73365.54776511574,48,4062.5266745100466,0
53,,66,4869.457203061933,0
38,45744.39626963028,70,4262.784994653967,0
46,72870.5026586926,28,2932.656696327279,0
34,64696.30795623437,93,5000.0,0
41,65022.839892754244,26,2406.031925278681,0
36,,25,2548.099964802711,0
39,56627.11549899628,12,1909.6039166508713,0
45,83093.4744018558,5,2099.9691467244274,0
28,71588.9812361925,98,5000.0,0
63,,48,4113.944772155935,0
25,40544.97478599228,37,2659.4671019994653,0
23,57133.84477117701,79,4807.075054184771,0
51,91995.72145730713,44,4152.605447625547,0
47,,15,2060.5509737612388,0
45,,43,3264.4027089864253,0
45,66182.15391139493,48,3768.7014058361137,0
37,45955.49488965723,87,4834.136301195097,0
27,38213.480535158014,70,4476.488260501955,0
38,50558.592332479326,46,3293.1708537334584,0
29,42122.024348958716,43,3029.626404427907,0
49,73453.15112613219,21,2492.8000488441357,0
36,60542.14732536521,23,2398.553219871072,0
28,64105.00492814077,80,5000.0,0
34,45816.45959261209,47,3150.0539437019456,0
42,75243.22398476583,15,2474.8087424217906,0
31,50060.11155774491,25,2258.765825421106,0
28,48105.362903475674,36,2934.732442432141,0
40,69748.19492166603,75,5000.0,0
40,51772.77978437701,51,3486.124409665558,0
31,56024.0974618405,15,2018.3292762733038,0
32,55064.522082130556,68,4418.212750217437,0
40,67924.51264008149,21,2775.2159746906577,0
20,41891.686439078185,13,1610.4365610258355,0
21,64753.00139910894,86,5000.0,0
29,43422.60015748684,19,1733.5009273058813,0
35,51690.03044998182,34,2755.1030168848015,0
41,57968.594735752355,78,4802.114861856965,0
55,,68,5000.0,0
48,66226.12872693482,52,4130.0019376402415,0
36,70090.16531107551,27,2661.6473820329707,0
37,73605.04247989855,29,2870.4868340655944,0
25,39292.53706250524,28,2256.9162574331376,0
37,51076.44426895771,35,3006.112848762969,0
34,60514.15556386404,8,1778.8350817329385,0
41,58677.76955719029,16,1996.4692954455988,0
28,54929.318177555106,36,2909.7540920656934,0
44,69829.23020851299,30,2852.311874585853,0
56,67042.55885002768,18,2441.2227584164757,0
36,73675.05201330062,2,1657.1459835163068,0
42,83358.77673095521,49,3995.6101267550594,0
46,64072.113095156135,77,5000.0,0
33,50722.984400640154,4,1279.2049459156922,1
40,,90,5000.0,0
38,63944.56789987025,89,5000.0,0
39,68385.4427267283,94,5000.0,0
28,,75,5000.0,0
38,58830.52772505951,7,1739.2313447108538,0
43,,95,5000.0,0
55,67206.80771985473,74,4864.979640576595,0
49,66490.6996005808,39,3174.435224613191,0
63,,13,2602.876666074227,0
28,66545.57863517788,31,3058.104289918473,0
48,,71,4597.460728982845,0
40,65237.87951638899,63,4338.947983873549,0
64,91635.77103927248,56,4708.473734145641,0
28,60483.93273448084,42,3375.492268672122,0
27,72669.32425873622,61,4594.807419627331,0
30,45691.31227079679,42,2918.604895940786,0
18,31705.60557481778,56,3079.496844237126,0
31,62641.60877069072,36,3102.929946007167,0
28,55418.914896263115,84,5000.0,0
39,80267.07325736033,68,5000.0,0
42,71239.28185325964,7,2118.0074972712405,0
60,83407.07909212941,54,4378.653125294458,0
49,79706.5483069231,1,1953.9394982640272,0
31,63287.03580582907,44,3416.967497385586,0
27,55604.82181197364,45,3154.2292445415906,0
43,71672.74031107298,47,3766.1129888285964,0
22,52066.74689589154,13,1973.7209574619974,0
59,97492.95590445673,22,3238.313248563417,0
52,91221.58991037527,21,3094.50289908141,0
32,59887.09887589642,86,5000.0,0
18,34928.81919683146,92,4998.744358233866,0
54,,9,2302.856560503855,0
36,70265.08966508356,26,2693.3256841253583,0
52,69230.64329012764,9,1912.2553053126026,0
18,40286.733088729015,15,1725.431997231198,0
30,47066.6118767264,10,1705.467949008064,0
38,60887.44822934817,88,5000.0,0
38,73384.518626073,42,3383.211953363414,0
32,55310.99068019903,72,4435.849226347556,0
45,69464.36548156149,24,2699.8381223651945,0
25,31401.438590200807,80,4456.756916383911,0
36,65662.5356602722,49,3754.4364338537466,0
39,68254.84181141076,26,2813.291129817579,0
44,,91,5000.0,0
46,67122.21765046999,37,3247.2027597354463,0
24,45991.503276639385,68,4173.076042108458,0
19,40293.83683710755,50,3428.1867591815667,0
53,94374.53279763475,24,3382.3419606353204,0
41,63247.04467613048,19,2141.589201165604,0
29,52590.21525770339,60,3913.51651383873,0
56,88278.96509716539,39,3725.487975674414,0
39,63666.09123156358,74,4763.284617829124,0
52,,89,5000.0,0
38,62540.899928983075,18,2294.4112902931215,0
62,100136.31749859772,19,2936.9205759144033,0
59,75534.8470058894,36,3420.163291051889,0
35,58329.69674146876,74,4737.240115656304,0
49,66798.79185060826,97,5000.0,0
45,80950.46628924843,55,4565.190749604847,0
54,64568.13095216225,69,4648.980395406466,0
26,40610.78152728412,47,3081.666401964583,0
46,73972.11875064521,49,3591.150911066389,0
50,90655.2402923434,99,5000.0,0
18,35942.497389270124,98,5000.0,0
23,37048.00473306802,33,2412.2847267279326,0
18,55411.570694405906,21,1917.2239291101928,0
34,41319.86099583756,81,4596.642861087884,0
46,48211.94043379918,22,2303.142089512902,0
56,86600.14450053332,48,4173.875466194969,0
38,55579.45775647389,37,2850.6070206528675,0
57,73187.67182869287,15,2253.960720113995,0
21,47283.56447299353,35,2659.064990594508,0
18,39038.00713771199,92,5000.0,0
37,53759.213692632715,71,4165.733193691716,0
42,52596.956013291056,32,2806.4777853587993,0
37,68124.57328280144,11,2246.0504591593926,0
18,,10,1284.2728939970211,1
36,57208.24136220617,73,4815.742767132071,0
22,59866.36996047666,78,4891.873918999951,0
46,59499.15233673847,77,5000.0,0
42,50144.748290752614,57,3773.587531258619,0
26,,25,2130.9500748475457,0
31,51744.13983644502,2,1380.7479937762325,1
25,47433.39449322692,64,3910.157941094247,0
37,,35,3093.953910077937,0
49,77320.55396514297,7,1893.2039835916416,0
26,33684.60575809556,85,4638.382103484411,0
44,82237.6460407326,18,2733.392622461127,0
31,51378.488216074315,67,4166.190478248666,0
28,59772.958315881275,42,3402.088852439867,0
36,61627.253463777044,39,3393.9249952531345,0
25,,41,3188.2325439888323,0
31,57897.672802322035,75,4442.536158994648,0
23,47077.08560017315,24,2240.4187574463667,0
61,94627.22759867544,60,4946.846943577967,0
38,73891.52530132432,46,3550.318179003178,0
29,51765.2116970147,19,2198.8458220246252,0
40,70090.03757588513,68,4761.919868763599,0
36,57302.64305712773,90,5000.0,0
35,71401.17215449474,42,3643.1583429509187,0
45,62236.0769794073,32,2925.626208617636,0
47,89409.40432910816,39,3840.745354890353,0
31,,36,2711.0215520063616,0
31,37892.248978819516,97,5000.0,0
34,57081.0441491079,36,2705.8890998623096,0
18,29789.483425251194,3,589.2409873750662,1
19,46206.43548988724,73,4430.252973776907,0
54,,8,2190.564845153718,0
57,78938.1656678522,97,5000.0,0
35,38104.59269054469,70,4102.574944219272,0
44,63276.936807509235,41,3282.408618141954,0
41,39961.20673371044,68,3917.839325957749,0
74,87960.97176514276,13,2510.940299733559,0
51,,49,4144.335601468526,0
36,66058.00158650833,60,4155.876696810072,0
26,50454.57561784965,2,1411.6795404323595,1
18,26930.23856870787,60,3468.0010264538478,0
40,62522.8864385802,5,1723.004641437615,0
28,,44,3284.57890521453,0
20,27416.353108074574,27,1884.313747263243,0
30,66033.9830176715,32,3059.586748281473,0
25,53773.62290575671,21,2162.5009505273383,0
58,82390.35826170337,8,2258.7343378068936,0
48,72868.85838994531,72,4800.511465203421,0
37,61483.82807947553,50,3543.0709881298008,0
55,,67,4440.432738162416,0
38,58128.22617479403,44,3059.7845156927133,0
27,40580.15752002201,58,3577.1630338741084,0
56,72183.79990105085,3,1537.71944717964,0
44,64988.99707114045,86,5000.0,0
25,62976.865268495225,70,4767.0538947862415,0
35,,2,1428.575889040281,1
27,41688.21010217203,87,5000.0,0
21,45925.827813561584,44,3233.3869133243556,0
56,67042.55885002768,18,2441.2227584164757,0
56,80008.99471191136,94,5000.0,0
63,,13,2602.876666074227,0
29,50392.184340144886,20,2304.5175197506137,0
36,62334.349032237005,21,2521.152014570335,0
52,91221.58991037527,21,3094.50289908141,0
40,65237.87951638899,63,4338.947983873549,0
45,84931.86626639398,89,5000.0,0
42,46692.08078974144,79,4255.60093501592,0
37,,35,3093.953910077937,0
44,59490.49883588962,95,5000.0,0
40,68931.01257968384,88,5000.0,0
25,31401.438590200807,80,4456.756916383911,0
28,50418.66255058495,60,3910.7262580810393,0
43,,95,5000.0,0
