Age,Annual_Income,Spending_Score,Monthly_Visits,Discount_Applied,Satisfaction_Rating,Churn
41,57498.86973940641,69,11,1,4,0
55,67980.1956241998,6,9,0,5,0
48,83014.62728204788,38,5,0,3,0
36,70791.55160302647,62,6,0,4,0
37,58634.89599273281,86,8,0,2,0
25,24089.5770785509,62,6,1,3,0
37,58937.55551747517,82,10,1,5,0
34,64718.04005402546,78,10,0,2,0
41,54410.88431225871,74,7,0,2,0
28,55433.599197791555,46,8,0,3,0
44,72646.90150827005,13,12,0,4,0
56,92992.91499601089,95,8,1,3,0
36,64395.80368414153,94,8,1,5,0
42,60669.31059118445,3,12,1,1,1
46,87165.71501664491,94,5,1,3,0
33,58014.7042697303,6,6,1,4,0
40,67726.95460490067,93,9,1,2,0
38,56267.32040926804,8,8,0,4,0
39,62367.1774880849,44,13,0,2,0
28,44751.97285973099,33,5,1,1,0
38,63870.539400765774,81,8,0,1,0
43,88717.08480142344,75,4,1,5,0
55,72280.98857068643,77,3,1,3,0
49,62664.38602123259,50,13,1,4,0
63,110311.7032749361,11,6,0,2,1
28,51506.76322848134,95,7,1,3,0
48,70909.27261340083,28,10,0,3,0
40,78399.04687396076,70,7,1,5,0
64,90743.84460263136,41,8,0,4,0
28,71860.09713546936,16,8,1,4,0
27,59179.258713392686,68,7,1,1,0
30,51120.885918542976,99,8,1,3,0
18,63173.082132655036,48,8,1,3,0
31,51142.850769966615,56,9,1,5,0
28,61020.95372009307,64,6,1,2,0
39,69792.92580406491,59,8,1,2,0
42,83417.41289398799,90,11,0,3,0
60,107615.11196726853,62,12,1,2,0
49,79120.04149065766,76,7,1,1,0
31,49665.82129653817,11,9,1,5,0
27,56999.72142939117,89,6,0,3,0
43,64822.84630247894,18,9,1,5,0
22,66533.87247526622,19,5,0,4,0
59,92165.35331082737,87,13,0,2,0
52,78746.78448687891,55,12,1,3,0
32,60246.803058649086,82,8,0,1,0
18,28128.737104703036,26,8,0,5,0
54,75083.85961489349,6,5,1,3,0
36,75204.13907944426,4,9,0,3,0
52,75831.05721028605,29,3,0,2,1
18,31130.890173180604,59,8,0,3,0
30,61366.52752527286,98,10,1,2,0
38,77457.04154662997,17,8,1,3,0
38,72789.53310665066,43,13,1,4,0
32,68360.47685805816,80,3,0,4,0
45,66432.0491143054,66,9,0,2,0
25,35781.89333258156,34,4,0,3,0
36,78213.33651955487,8,12,1,5,0
39,63573.20161157864,13,8,1,1,0
44,70291.66983544953,8,6,0,5,0
46,88481.94141849058,94,8,0,2,0
24,54362.3000940066,96,8,0,4,0
19,47358.877720816075,94,7,1,3,0
53,105250.02344901084,65,9,1,3,0
41,62764.817696198574,43,9,1,5,0
29,64078.40128081237,39,6,1,1,0
56,87770.13124897084,81,5,1,2,0
39,69485.92278863257,59,7,0,3,0
52,97684.68426412532,84,8,0,4,0
38,70678.35756289624,88,8,1,2,0
62,99782.96079049633,86,7,1,4,0
59,101525.07337309801,93,8,1,3,0
35,58350.47270457115,86,5,1,2,0
49,70407.90332660993,44,12,1,4,0
45,63551.90805978967,9,7,1,1,1
54,65136.43410623998,37,10,1,3,0
26,71762.07129940322,74,5,1,1,0
46,64167.916342783166,36,8,0,3,0
50,77787.46376414227,92,6,1,3,0
18,38831.86700111079,28,6,1,3,0
23,50674.06697809101,42,11,0,3,0
18,49757.37212539297,43,10,1,3,0
34,69404.73488359746,85,9,1,2,0
46,69369.22561431062,88,9,0,3,0
56,85528.78286213588,42,9,1,5,0
38,68425.799504883,66,5,0,5,0
57,85913.08873816453,55,11,1,1,0
21,61273.455760199926,72,7,1,1,0
18,46509.749516382515,48,6,0,5,0
37,71748.77786049817,91,5,0,3,0
42,77028.81268667412,22,10,1,3,0
37,76134.73857485325,27,8,0,4,0
18,43410.21558703707,93,10,0,2,0
36,50231.680520441536,67,9,1,3,0
22,50396.87951752642,13,10,0,5,0
46,68686.43106208171,45,9,0,4,0
42,65113.833182502436,10,9,1,2,0
26,57063.64018755093,9,11,1,1,0
31,69582.83071433636,54,10,1,2,0
25,50212.71576736061,27,7,1,4,0
37,67488.33012598964,34,9,0,2,0
49,95822.14944635238,1,9,0,1,0
26,53607.53179488568,32,2,0,5,0
44,98816.83114180395,89,11,1,2,0
31,62855.09645631544,93,9,1,1,0
28,35992.37240844182,71,5,1,2,0
36,70733.41621104532,67,2,1,2,0
25,53811.58384882778,84,6,1,3,0
31,70097.52754082746,20,6,0,5,0
23,54331.813512699584,94,6,1,5,0
61,91815.44016016227,35,8,0,3,0
38,53357.01763710634,99,7,0,3,0
29,52709.76742713975,91,7,1,3,0
40,59494.795457907,90,6,1,2,0
36,57394.765501952774,78,8,1,1,0
35,67885.7840442061,17,9,1,5,0
45,90699.04504351407,18,8,0,2,0
47,80346.71529822981,45,7,1,2,0
31,45241.169379648156,93,12,1,3,0
31,61646.02668220141,84,8,0,3,0
34,72766.31486645651,53,6,1,1,1
18,35502.17095680618,91,9,1,1,0
19,41459.82833327082,82,7,1,3,0
54,84946.88194729197,68,8,1,4,0
57,80551.0168691776,65,9,1,2,0
35,68482.80433843858,1,7,1,3,1
44,71590.51851392219,58,7,0,3,0
41,73395.32443907027,26,6,0,5,0
70,95125.078221979,20,7,0,2,1
51,76825.4169967659,87,10,0,1,0
36,70423.81357827771,10,10,1,3,0
26,47471.668479082335,59,7,1,4,0
18,58869.63851233405,75,10,0,1,0
40,64003.638143853976,41,6,0,3,0
28,55846.847257518864,5,8,0,1,1
20,53325.9083187309,65,7,1,1,0
30,41816.342670669685,17,7,1,3,0
25,32391.91188019224,22,8,1,2,0
58,74343.43685429906,98,9,1,4,0
48,90225.84103427181,41,9,0,3,0
37,58881.41854107553,93,10,0,3,0
55,111581.99285668253,68,7,0,3,0
38,59957.52401342611,69,4,0,3,0
27,54245.513031970375,11,6,1,1,1
56,102621.09952567876,56,7,1,5,0
44,92860.92888159123,51,6,1,5,0
25,70615.03576636397,21,10,1,2,0
35,74083.66230593142,99,7,0,1,0
27,62640.625258114625,76,15,0,1,0
21,51125.26949201183,26,5,1,4,0
49,86583.61076166638,19,5,1,4,0
60,86488.14283671466,60,6,0,4,0
21,37018.01116577693,71,8,1,4,0
44,72766.25542589047,47,13,1,3,0
30,54298.15377475072,71,8,1,3,0
32,53867.71950672725,26,6,1,4,0
30,62963.87447456716,40,13,1,3,0
27,61953.05208570511,5,5,1,3,0
38,66484.06886291847,21,7,1,3,0
28,68375.30081055261,78,6,1,3,0
41,57783.10885866495,4,6,0,3,0
37,62463.40540720282,23,7,1,3,0
35,54831.77679397195,84,8,0,4,0
27,33734.6338292694,15,6,0,3,0
31,56373.19314157301,93,9,1,3,0
47,75182.52491616717,8,7,1,4,0
44,87934.49743242131,41,6,0,3,0
26,57508.116845547775,19,6,0,2,0
39,56558.13175670795,46,6,0,1,0
47,94940.92566334188,28,5,1,3,1
18,53810.33695525353,91,7,0,3,0
44,78620.97703468616,68,4,0,5,0
30,53735.15901150168,15,12,1,3,0
44,63205.607632765204,99,6,0,3,0
28,49877.93223928947,37,10,1,2,0
18,52487.48619704186,1,4,1,1,1
18,60445.86305934609,67,8,0,4,0
38,81032.43528272188,24,2,1,2,1
41,64311.50578213726,27,6,1,3,1
27,41203.825667109886,40,9,1,4,0
45,75408.86246911203,63,6,1,3,0
18,23915.606344371485,61,10,0,5,0
37,67631.67714184782,36,6,1,3,0
23,46123.97413701331,98,8,1,2,0
30,51339.63498131758,93,3,0,5,0
38,49652.969327332044,24,5,0,5,0
27,57536.001065697164,24,11,0,2,0
33,54272.991603380884,4,9,0,1,1
50,68300.83164289712,67,7,1,1,0
31,28477.377867183506,34,8,0,2,0
48,77324.85094949364,57,4,0,5,0
24,66522.51596669744,49,12,1,3,0
44,89412.5921454787,87,11,0,3,0
55,81429.03743413728,53,6,1,5,0
18,35577.879396382195,23,9,1,3,0
28,58287.74256075024,69,14,0,2,0
44,62816.14560811708,95,8,1,5,0
35,65017.918998194655,53,8,1,4,0
42,78060.8027838469,62,6,0,4,0
30,68269.33223884308,41,8,0,3,0
39,65798.45923520047,57,6,1,4,0
36,61163.26249823034,60,11,1,2,0
52,73620.17413243439,54,5,1,3,0
41,60931.1964596014,70,12,0,5,0
42,68135.21108098474,57,9,1,2,0
33,63273.65506816178,10,11,1,4,0
32,67535.84626233249,40,6,1,3,0
32,50368.21049319655,7,9,1,1,1
42,85326.88568959522,38,9,1,4,0
32,55688.76398957431,85,9,1,2,0
41,68986.32705651564,61,9,1,3,0
62,86927.88320852176,84,7,1,1,0
48,53357.59739727058,3,5,0,5,0
34,69640.45396361049,51,2,1,2,0
52,89768.43897092433,86,9,1,2,0
33,56786.72442881786,47,6,0,1,1
18,42269.90717224872,68,7,1,5,0
25,55159.392177040994,92,4,0,4,0
18,25974.541431134574,76,9,1,4,0
33,54309.473226537055,38,8,1,3,0
38,73542.64679621827,36,10,0,3,0
58,77057.1057683075,41,9,1,1,0
41,72135.5793216663,69,9,0,3,0
35,48434.18195376595,13,2,1,2,1
47,81064.29982433526,87,6,1,5,0
18,41243.58517702516,58,7,0,4,0
40,51848.681840944904,50,7,0,3,0
47,88047.3935445717,30,9,0,2,1
20,36654.08423201951,62,6,1,4,0
51,73097.47562985618,25,6,1,1,1
42,72405.69197230943,27,10,0,2,0
33,71086.37349428715,51,10,0,2,0
45,63841.78181021603,78,12,0,3,0
65,98616.79849847971,57,8,1,4,0
40,72288.16500330574,47,5,1,2,0
40,74931.05607263144,39,8,0,1,0
32,60164.41555277225,16,8,1,3,0
27,48729.72160916678,22,8,0,4,0
47,68124.0977935128,85,14,1,2,0
27,53261.43883046375,54,2,1,2,0
38,54878.60988014393,21,7,1,5,0
32,29186.495165053926,72,7,1,5,0
43,75965.59804157668,16,5,1,5,0
42,79439.34841086195,59,7,1,4,0
50,56370.67564458161,31,8,1,2,0
31,47102.69295290062,42,8,0,2,0
34,66991.54261005198,74,12,0,2,0
26,71774.95469711699,32,4,0,2,1
32,58607.93707675408,59,6,1,5,0
42,63119.97058770865,34,8,0,4,0
47,74571.0355889516,9,9,0,4,0
26,64948.76419148185,81,6,1,2,0
48,71140.35820875465,11,11,0,5,0
54,76808.07993349747,96,6,1,4,0
42,65572.56477817967,10,9,1,2,0
60,82466.71391741288,86,12,1,5,0
28,54826.70315994795,17,7,1,2,0
23,63846.784584695604,68,14,1,1,0
18,44830.79273116029,48,6,1,4,0
55,83476.46497873712,52,9,0,4,0
45,71081.88731084456,25,8,1,1,0
37,48768.09191303343,21,10,0,2,0
41,78031.0977714716,65,9,0,5,0
24,48021.62802987198,63,5,1,4,0
67,98595.20086409374,89,7,0,4,0
39,98731.0756784486,51,10,0,2,0
39,69787.52908365686,36,6,0,1,0
46,67682.08949904816,81,7,0,2,0
43,67336.42403794457,88,8,0,2,0
40,79484.45709196755,66,6,0,2,0
28,54732.70410537765,15,5,1,2,1
43,57217.22021682633,96,7,1,3,0
60,101192.28934575204,39,4,0,2,0
54,78118.55914461006,70,12,1,4,0
57,107132.97776217546,1,12,0,2,0
31,68000.48065714649,23,9,0,3,0
26,46726.781043412484,39,7,0,1,0
36,76010.16361735112,57,5,1,3,0
38,66278.55510527403,81,5,1,1,0
51,89727.7367512222,34,7,1,5,0
18,46447.32817294475,41,6,1,4,0
56,78736.43345009127,93,7,1,3,0
36,56764.501676825384,73,9,1,1,0
32,68699.60817581162,13,8,1,3,0
25,46652.24667893459,70,6,0,4,0
18,37563.51536758003,6,9,0,2,0
47,66848.77420650647,84,8,1,3,0
38,69835.99065593461,52,5,1,4,0
22,67025.24919243145,3,9,0,4,0
22,35724.67085745727,81,6,0,4,0
33,59842.19456672758,63,8,1,5,0
58,103722.2055541543,49,6,1,5,0
34,60003.58608754285,76,7,0,3,0
19,47323.717962497336,47,8,1,3,0
35,51376.064718531205,55,5,1,4,0
34,65083.070972076486,64,8,1,4,0
18,39728.55734995451,65,5,1,5,0
37,74257.29995679863,81,9,1,1,0
35,73873.86051564751,67,11,0,3,0
46,101095.63642018614,90,8,0,2,0
60,97796.33173213576,15,6,1,2,1
51,84457.96316582167,32,11,1,2,0
34,62743.84301577336,96,7,0,4,0
24,45268.33707189312,68,10,1,1,0
68,104984.83843461692,18,8,1,4,0
38,62645.98589860971,83,9,0,4,0
38,67284.60976269614,43,7,0,2,0
37,77575.9753560796,35,7,0,2,0
40,57934.57434720359,78,12,1,3,0
36,74598.78561129046,58,3,1,4,0
31,70371.15067339866,33,6,1,5,0
31,56019.314730089216,14,9,1,5,0
37,43181.45100991405,34,8,1,5,0
31,51121.780129055674,61,8,1,3,0
29,67769.94546561109,4,7,1,5,0
39,66571.31937701118,88,9,1,4,0
34,50806.97767705089,59,11,1,5,0
56,82152.25078771783,29,8,0,1,0
18,50006.20026504553,83,7,1,5,0
51,86667.3356820138,6,8,0,3,1
52,80010.67900830306,97,15,1,4,0
18,37931.755881853125,49,14,1,1,0
33,55682.41850956178,40,10,0,3,0
33,50375.89815501498,83,6,0,2,0
21,61353.756894694416,65,13,1,2,0
28,50376.7953078866,69,4,1,1,0
24,60971.58520825497,27,4,0,4,0
59,106013.1605192245,80,7,1,1,0
49,88783.1089814796,6,10,0,2,0
53,79283.79687281951,13,13,0,2,0
46,79237.3009033661,64,6,0,3,0
24,48558.043936090835,62,10,0,2,0
31,48162.98139269872,99,5,1,2,0
43,74843.59281721603,19,11,1,3,0
23,35809.602088401974,76,6,1,4,0
46,87076.79388461565,80,8,1,1,0
35,57353.82702701607,43,4,0,2,0
33,61611.59655872839,74,8,1,2,0
46,78032.87871546143,89,9,0,5,0
43,69010.95026295923,20,11,1,3,0
33,65466.93801475275,95,8,1,3,0
51,76450.96343377476,68,8,0,2,0
25,58712.97297457244,44,9,1,3,0
45,60540.203197532515,23,13,0,1,0
45,75263.79579546412,2,10,0,1,0
